distance_m,elevation_m,source,description
0.000,65.260,lutning_start,"Lutning -12.5‰ 736+330->736+340 längd 10.0 m"
0.000,65.210,lutning_end,"Lutning -12.5‰ 736+330->736+340 längd 10.0 m"
0.000,65.240,lutning_start,"Lutning -12.5‰ 736+330->736+340 längd 10.0 m"
0.000,65.120,lutning_end,"Lutning -12.5‰ 736+330->736+340 längd 10.0 m"
0.000,64.650,lutning_start,"Lutning -8.5‰ 736+359->736+367 längd 8.0 m"
0.000,64.580,lutning_end,"Lutning -8.5‰ 736+359->736+367 längd 8.0 m"
0.000,64.390,lutning_end,"Lutning -7.85‰ 736+367->736+387 längd 20.0 m"
0.000,66.680,lutning_end,"Lutning -18.3‰ 736+84->736+239 längd 155.0 m"
278.631,70.070,lutning_end,"Lutning -17.2‰ 733+480->736+56 längd 2577.7 m"
278.631,69.630,lutning_start,"Lutning -18.3‰ 736+84->736+239 längd 155.0 m"
278.631,70.070,lutning_end,"Lutning -17.2‰ 733+480->736+56 längd 2577.7 m"
2764.247,111.370,lutning_start,"Lutning -17.2‰ 733+480->736+56 längd 2577.7 m"
3118.489,116.790,lutning_end,"Lutning -16.0‰ 732+780->733+120 längd 342.51 m"
3490.830,122.210,lutning_start,"Lutning -16.0‰ 732+780->733+120 längd 342.51 m"
4130.861,132.280,lutning_end,"Lutning -16.0‰ 731+0->732+100 längd 1097.49 m"
5232.578,150.560,lutning_start,"Lutning -16.0‰ 731+0->732+100 längd 1097.49 m"
5232.578,150.842,lutning_end,"Lutning -15.219‰ 730+637->731+0 längd 362.207 m"
5588.061,156.355,lutning_start,"Lutning -15.219‰ 730+637->731+0 längd 362.207 m"
5613.924,156.718,lutning_end,"Lutning -16.493‰ 730+474->730+614 längd 139.636 m"
5753.548,159.021,lutning_start,"Lutning -16.493‰ 730+474->730+614 längd 139.636 m"
5967.775,160.956,lutning_end,"Lutning -0.875‰ 730+194->730+260 längd 65.254 m"
6033.016,161.013,lutning_start,"Lutning -0.875‰ 730+194->730+260 längd 65.254 m"
6067.865,161.007,lutning_end,"Lutning 1.286‰ 730+84->730+162 längd 78.059 m"
6143.485,160.906,lutning_start,"Lutning 1.286‰ 730+84->730+162 längd 78.059 m"
6341.313,162.431,lutning_end,"Lutning -16.702‰ 729+462->729+890 längd 427.421 m"
6768.693,169.570,lutning_start,"Lutning -16.702‰ 729+462->729+890 längd 427.421 m"
6808.185,170.186,lutning_end,"Lutning -14.507‰ 729+148->729+423 längd 275.337 m"
7088.092,174.181,lutning_start,"Lutning -14.507‰ 729+148->729+423 längd 275.337 m"
7113.961,174.638,lutning_end,"Lutning -15.491‰ 729+50->729+117 längd 67.205 m"
7181.158,175.679,lutning_start,"Lutning -15.491‰ 729+50->729+117 längd 67.205 m"
7300.917,176.638,lutning_end,"Lutning -0.517‰ 728+793->728+927 längd 134.405 m"
7435.298,176.707,lutning_start,"Lutning -0.517‰ 728+793->728+927 längd 134.405 m"
7442.994,176.707,lutning_end,"Lutning 0.566‰ 728+542->728+771 längd 229.107 m"
7660.717,176.070,lutning_start,"Lutning 6.0‰ 728+559->728+563 längd 4.0 m"
7660.717,176.080,lutning_end,"Lutning 6.0‰ 728+559->728+563 längd 4.0 m"
7660.717,176.070,lutning_end,"Lutning -1.32‰ 728+509->728+559 längd 50.0 m"
7660.717,176.577,lutning_start,"Lutning 0.566‰ 728+542->728+771 längd 229.107 m"
7725.832,176.020,lutning_end,"Lutning 0.28‰ 728+459->728+509 längd 50.0 m"
7725.832,176.557,lutning_end,"Lutning 1.277‰ 728+341->728+520 längd 179.126 m"
7779.199,176.190,lutning_start,"Lutning -2.29‰ 728+378->728+409 längd 31.0 m"
7779.199,176.120,lutning_end,"Lutning -2.29‰ 728+378->728+409 längd 31.0 m"
7975.168,176.329,lutning_start,"Lutning 1.277‰ 728+341->728+520 längd 179.126 m"
7975.168,176.294,lutning_end,"Lutning -0.506‰ 728+200->728+252 längd 52.543 m"
8161.607,176.975,lutning_end,"Lutning -8.314‰ 728+17->728+51 längd 34.168 m"
8200.078,177.259,lutning_start,"Lutning -8.314‰ 728+17->728+51 längd 34.168 m"
8358.076,179.148,lutning_end,"Lutning -17.07‰ 727+745->727+867 längd 121.919 m"
8481.351,181.229,lutning_start,"Lutning -17.07‰ 727+745->727+867 längd 121.919 m"
8503.780,181.591,lutning_end,"Lutning -15.2‰ 727+57->727+723 längd 665.864 m"
9151.802,191.712,lutning_end,"Lutning -14.498‰ 726+838->727+57 längd 217.882 m"
9351.527,194.871,lutning_start,"Lutning -14.498‰ 726+838->727+57 längd 217.882 m"
9440.886,195.380,lutning_end,"Lutning -14.499‰ 725+958->726+805 längd 846.267 m"
10265.525,207.650,lutning_start,"Lutning -14.499‰ 725+958->726+805 längd 846.267 m"
10684.872,213.928,lutning_start,"Lutning -15.5‰ 725+553->725+958 längd 404.995 m"
10963.084,215.075,lutning_end,"Lutning 7.002‰ 725+31->725+283 längd 252.173 m"
11189.211,213.309,lutning_start,"Lutning 7.002‰ 725+31->725+283 längd 252.173 m"
12103.193,213.617,lutning_end,"Lutning -9.999‰ 723+685->724+205 längd 518.671 m"
12543.537,218.804,lutning_start,"Lutning -9.999‰ 723+685->724+205 längd 518.671 m"
12543.537,219.244,lutning_end,"Lutning -12.0‰ 722+883->723+645 längd 763.74 m"
13321.373,228.409,lutning_start,"Lutning -12.0‰ 722+883->723+645 längd 763.74 m"
13471.069,229.199,lutning_end,"Lutning 3.5‰ 722+222->722+697 längd 474.467 m"
13852.109,227.538,lutning_start,"Lutning 3.5‰ 722+222->722+697 längd 474.467 m"
